the_geom,OBJECTID_1,OBJECTID,NAME,ADDRESS,Shape_Leng
POINT (-83.10740884487858 42.30460013004569),2,2,James Valentine Campbell,6625 W. Fort,460.267388776
POINT (-83.08894041412334 42.32328040389013),1,1,Herbert Bowen,3648 W. Vernor,610.575893267
POINT (-82.97437790167565 42.40156859065538),3,3,Chandler Park,12800 Harper,1127.22281022
POINT (-83.2053548225668 42.395204096585445),4,4,Henry Chaney,16101 Grand River,545.314628561
POINT (-83.0468776448296 42.333963352973484),6,6,Downtown Library,121 Gratiot,819.042480594
POINT (-83.12730777767533 42.33192612572043),5,5,Edwin F. Conely,4600 Martin,887.414979873
POINT (-83.09333752963502 42.36330763713403),7,7,Divie B. Duffield,2507 W Grand Blvd,684.368197211
POINT (-83.22049967642508 42.358093066742526),8,8,Thomas A. Edison,18400 Joy Rd.,505.978478304
POINT (-83.0233587699621 42.34047315204276),9,9,Elmwood Park,550 Chene,2273.43493156
POINT (-82.98403802598973 42.427134761166954),10,10,Benjamin Franklin,13651 E. McNichols,496.852463077
POINT (-83.17283309238202 42.41638394131857),11,11,Bela Hubbard,12929 W. McNichols,495.190086714
POINT (-83.06012200348957 42.41480617191481),12,12,Elisabeth Knapp,13330 Conant,1085.20397201
POINT (-83.06671060849577 42.358401536711455),13,13,Main Library,5201 Woodward,2552.12920568
POINT (-83.12740128194397 42.396761284287265),14,14,Francis Parkman,1766 Oakman Blvd,833.927671916
POINT (-83.2492511870453 42.413580149115866),15,15,Redford,21200 Grand River,733.119241647
POINT (-83.02977435555528 42.43363660504726),17,17,Laura Ingalls Wilder,7140 E. 7 Mile,645.507524709
POINT (-83.14417393035808 42.43127289218781),16,16,Sherwood Forest,7117 W. 7 Mile,621.908667846
POINT (-82.93737499175475 42.404016215551074),18,18,Jefferson,12350 E. Outer Drive,531.779128266
POINT (-83.07422447595924 42.34310550011011),19,19,Douglass,3666 Grand River,1383.41012103
POINT (-83.21764330161865 42.4297826119116),20,20,Jessie C. Chase,17731 W 7 Mile,625.883527428
